JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5;BOLA6;BOLA7;BOLA8;BOLA9;BOLA10;BOLA11;BOLA12;BOLA13;BOLA14;BOLA15;BOLA16;BOLA17;BOLA18;BOLA19;BOLA20
INTRALOT_KENO_MINAS;432362;21/4/2016;4;5;15;16;21;27;28;30;41;42;43;44;48;50;51;57;66;67;71;78
INTRALOT_KENO_MINAS;432361;21/4/2016;8;9;14;16;18;19;21;24;30;37;43;45;52;60;62;66;68;69;76;78
INTRALOT_KENO_MINAS;432360;21/4/2016;1;2;3;4;7;12;21;26;30;32;35;44;47;48;51;56;66;67;69;72
INTRALOT_KENO_MINAS;432359;21/4/2016;1;9;10;13;14;21;25;26;33;49;50;51;57;61;63;64;66;67;76;80
INTRALOT_KENO_MINAS;432358;21/4/2016;8;9;11;14;19;20;24;29;39;43;47;52;59;61;63;66;68;71;73;75
INTRALOT_KENO_MINAS;432357;21/4/2016;8;12;17;23;24;27;31;32;34;38;41;42;45;46;48;53;56;65;71;78
INTRALOT_KENO_MINAS;432356;21/4/2016;7;9;12;17;19;20;27;30;38;46;47;50;53;62;63;70;74;76;77;79
INTRALOT_KENO_MINAS;432355;21/4/2016;1;2;3;13;16;19;20;22;29;30;31;32;34;36;44;58;62;63;68;77
INTRALOT_KENO_MINAS;432354;21/4/2016;3;13;14;21;22;30;32;38;46;47;48;49;52;57;58;60;61;70;75;76
INTRALOT_KENO_MINAS;432353;21/4/2016;8;10;14;21;22;26;27;28;38;41;42;45;54;56;58;59;67;70;71;75
