JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5
INTRALOT_MINAS_5;866;22/4/2016;3;14;16;28;29
INTRALOT_MINAS_5;865;20/4/2016;15;20;24;28;31
INTRALOT_MINAS_5;864;19/4/2016;11;13;19;28;31
INTRALOT_MINAS_5;863;18/4/2016;5;13;20;28;33
INTRALOT_MINAS_5;862;16/4/2016;18;21;22;27;30
INTRALOT_MINAS_5;861;15/4/2016;1;5;10;16;33
INTRALOT_MINAS_5;860;14/4/2016;5;8;9;11;18
INTRALOT_MINAS_5;859;13/4/2016;2;6;12;18;28
INTRALOT_MINAS_5;858;12/4/2016;4;10;12;19;28
INTRALOT_MINAS_5;857;11/4/2016;4;7;13;25;31
