JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5;BOLA6;BOLA7;BOLA8;BOLA9;BOLA10;BOLA11;BOLA12;BOLA13;BOLA14;BOLA15;BOLA16;BOLA17;BOLA18;BOLA19;BOLA20
INTRALOT_KENO_MINAS;450763;15/7/2016;6;10;14;21;22;29;30;34;36;43;47;51;58;60;62;64;67;73;75;76
INTRALOT_KENO_MINAS;450762;15/7/2016;5;21;22;23;28;32;34;35;37;40;46;48;49;50;57;62;64;68;72;76
INTRALOT_KENO_MINAS;450761;15/7/2016;1;13;15;17;19;24;30;35;41;42;46;47;51;58;66;67;69;71;76;78
INTRALOT_KENO_MINAS;450760;15/7/2016;1;2;5;16;26;27;31;34;35;44;46;47;48;61;68;70;75;77;78;79
INTRALOT_KENO_MINAS;450759;15/7/2016;6;14;21;24;28;29;30;36;40;44;46;55;60;61;63;69;71;74;75;76
INTRALOT_KENO_MINAS;450758;15/7/2016;6;8;13;17;26;32;39;45;46;49;54;55;56;57;61;64;70;73;76;79
INTRALOT_KENO_MINAS;450757;15/7/2016;10;17;18;19;20;21;23;27;37;38;40;43;44;46;58;60;66;73;74;78
INTRALOT_KENO_MINAS;450756;15/7/2016;6;9;11;12;13;16;20;23;27;30;36;40;47;48;52;58;62;67;72;80
INTRALOT_KENO_MINAS;450755;15/7/2016;3;6;9;10;11;14;22;26;33;36;37;39;46;49;65;66;67;73;75;77
INTRALOT_KENO_MINAS;450754;15/7/2016;2;13;16;17;21;25;31;37;38;39;52;53;59;61;64;66;67;68;74;77
